"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","131"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-40.000000000000085"
">","EXTENTS_TOP:","-987.2689603142594"
">","EXTENTS_RIGHT:","1110.0000000000002"
">","EXTENTS_BOTTOM:","138.56406460551028"
">","EXTENTS_WIDTH:","1150.0000000000002"
">","EXTENTS_HEIGHT:","1125.8330249197697"
">","COMMAND_STITCH","125"
">","COMMAND_COLOR_BREAK","2"
">","COMMAND_SEQUENCE_BREAK","2"
">","COMMAND_STOP","1"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","88","STITCH","840.0000000000006","-917.9869280115045"
"*","89","STITCH","850.0000000000006","-935.3074360871932"
"*","90","STITCH","860.0000000000006","-952.6279441628819"
"*","91","STITCH","870.0000000000006","-935.3074360871932"
"*","92","STITCH","860.0000000000006","-917.9869280115045"
"*","93","STITCH","880.0000000000006","-917.9869280115045"
"*","94","STITCH","890.0000000000006","-935.3074360871932"
"*","95","STITCH","910.0000000000006","-935.3074360871932"
"*","96","STITCH","920.0000000000006","-917.9869280115045"
"*","97","STITCH","930.0000000000006","-900.6664199358157"
"*","98","STITCH","910.0000000000006","-900.6664199358157"
"*","99","STITCH","900.0000000000006","-917.9869280115045"
"*","100","STITCH","890.0000000000006","-900.6664199358157"
"*","101","STITCH","900.0000000000006","-883.345911860127"
"*","102","STITCH","920.0000000000006","-883.345911860127"
"*","103","STITCH","930.0000000000006","-866.0254037844383"
"*","104","STITCH","910.0000000000006","-866.0254037844383"
"*","105","STITCH","900.0000000000006","-848.7048957087495"
"*","106","STITCH","920.0000000000006","-848.7048957087495"
"*","107","STITCH","940.0000000000006","-848.7048957087495"
"*","108","STITCH","950.0000000000006","-866.0254037844383"
"*","109","STITCH","940.0000000000006","-883.345911860127"
"*","110","STITCH","950.0000000000006","-900.6664199358157"
"*","111","STITCH","960.0000000000006","-883.345911860127"
"*","112","STITCH","980.0000000000006","-883.345911860127"
"*","113","STITCH","970.0000000000006","-900.6664199358157"
"*","114","STITCH","960.0000000000006","-917.9869280115045"
"*","115","STITCH","940.0000000000006","-917.9869280115045"
"*","116","STITCH","930.0000000000006","-935.3074360871932"
"*","117","STITCH","940.0000000000006","-952.6279441628819"
"*","118","STITCH","950.0000000000006","-935.3074360871932"
"*","119","STITCH","970.0000000000006","-935.3074360871932"
"*","120","STITCH","960.0000000000006","-952.6279441628819"
"*","121","STITCH","950.0000000000006","-969.9484522385707"
"*","122","STITCH","930.0000000000006","-969.9484522385707"
"*","123","STITCH","920.0000000000006","-952.6279441628819"
"*","124","STITCH","900.0000000000006","-952.6279441628819"
"*","125","STITCH","880.0000000000006","-952.6279441628819"
"*","126","STITCH","890.0000000000006","-969.9484522385707"
"*","127","STITCH","910.0000000000006","-969.9484522385707"
"*","128","STITCH","900.0000000000006","-987.2689603142594"
"*","129","STITCH","880.0000000000006","-987.2689603142594"
"*","130","END","0","0"
